"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.177329583E0,1.235567100E-1,-3.509720389E-2,2.497111917E-2,1.308496507E-1
2.187364583E0,1.298461213E-1,-3.195478686E-2,8.329358697E-3,1.339794829E-1
2.197399583E0,1.226268565E-1,4.073191437E-2,-9.418987334E-2,1.599004910E-1
2.207433583E0,1.408455745E-1,8.102636565E-2,-1.328545868E-1,2.098882775E-1
2.217468583E0,1.162402352E-1,7.888331543E-2,-1.878570056E-1,2.345732813E-1
2.227502583E0,6.144239590E-2,6.185324502E-2,-1.076068944E-1,1.384927278E-1
2.237537583E0,-2.979916513E-2,-2.689549265E-2,5.627711177E-2,6.912648607E-2
2.247571583E0,-8.211365540E-2,-8.417251484E-2,1.713649338E-1,2.078307129E-1
2.257606583E0,-8.570209164E-2,-1.092753334E-1,2.323858917E-1,2.707196883E-1
2.267640583E0,-5.123582516E-2,-1.143835706E-1,1.941562110E-1,2.310959655E-1
2.277675583E0,2.990923896E-3,-8.866148626E-2,7.096297860E-2,1.136025929E-1
2.287709583E0,8.292638183E-2,5.083857081E-3,-9.097799778E-2,1.232056268E-1
2.297744583E0,1.497134617E-1,-8.633139823E-4,-2.387476623E-1,2.818072252E-1
2.307778583E0,1.703553024E-1,-1.752475399E-2,-2.621236610E-1,3.131083834E-1
2.317813583E0,9.454838075E-2,1.212857793E-2,-2.600151551E-1,2.769375012E-1
2.327848583E0,1.917265467E-2,-5.876597911E-3,-1.236651027E-1,1.252804164E-1
2.337881917E0,-5.157573111E-2,-1.888030303E-2,-1.482970834E-2,5.688973661E-2
2.347916917E0,-1.143463586E-1,-3.763770032E-2,3.933071136E-2,1.266435591E-1
2.357950917E0,-1.073318194E-1,-3.297809071E-2,1.101089180E-1,1.572629891E-1
2.367985917E0,-7.435732383E-2,-6.584946974E-2,1.368248463E-2,1.002615313E-1
2.378019917E0,-3.226226818E-2,-6.014101583E-2,-5.979362726E-2,9.073628598E-2
2.388054917E0,2.793445151E-2,-2.482907294E-2,-1.657568693E-1,1.699180866E-1
2.398088917E0,6.804452363E-2,-9.455290320E-3,-2.071189034E-1,2.182148021E-1
2.408123917E0,7.676173545E-2,-8.639032720E-3,-1.952490556E-1,2.099742618E-1
2.418157917E0,3.882814318E-2,4.427808621E-3,-1.720823872E-1,1.764640988E-1
2.428192917E0,-9.933688492E-3,-2.492387092E-2,-1.388696176E-1,1.414377891E-1
2.438226917E0,-8.297199011E-2,-2.205009690E-2,-8.742464483E-2,1.225301042E-1
2.448261917E0,-1.344287304E-1,-4.310886235E-2,-8.018930018E-2,1.623569568E-1
2.458295917E0,-1.510211184E-1,-6.279259108E-2,-4.920841277E-2,1.707974110E-1
2.468330917E0,-1.255420589E-1,3.427107912E-4,-4.819742918E-2,1.344764596E-1
2.478365917E0,-1.107289786E-1,3.848051707E-2,-1.075174320E-1,1.590649398E-1
2.488399917E0,-5.442990325E-2,2.110626950E-2,-1.324254012E-1,1.447224097E-1
2.498434917E0,-3.274616182E-2,3.857245540E-2,-1.584010720E-1,1.662860338E-1
2.508468917E0,-5.929233816E-2,3.170292718E-2,-1.550383383E-1,1.689897728E-1
2.518503917E0,-5.414580166E-2,2.660471245E-2,-1.491455144E-1,1.608849372E-1
2.528537917E0,-1.034701720E-1,1.608595521E-2,-1.518960446E-1,1.844918503E-1
2.538572917E0,-1.051088177E-1,1.525280921E-2,-9.052191496E-2,1.395518858E-1
2.548606917E0,-1.190035928E-1,-5.677411596E-2,-1.352460980E-2,1.325445978E-1
2.558641917E0,-1.074142286E-1,-9.484974076E-2,4.701804578E-2,1.508144107E-1
2.568675917E0,-1.189659879E-1,-9.441785993E-2,3.072419465E-2,1.549568155E-1
2.578710917E0,-9.797707837E-2,-7.184150448E-2,-7.275982797E-2,1.416146257E-1
2.588744917E0,-8.965817157E-2,-4.317289850E-2,-2.060751754E-1,2.288437563E-1
2.598779917E0,-4.913524948E-2,-5.768095516E-4,-2.913650018E-1,2.954795589E-1
2.608814917E0,-1.040965185E-2,3.208586499E-2,-3.130347830E-1,3.148470088E-1
2.618848917E0,-1.170671046E-2,5.062403281E-2,-3.373428279E-1,3.413209975E-1
2.628883917E0,-2.067063823E-2,8.112489123E-2,-2.687976730E-1,2.815327907E-1
2.638917917E0,-2.843405955E-2,1.497563748E-2,-2.497679096E-1,2.518268734E-1
2.648952917E0,-1.077678390E-1,-7.302638792E-2,-2.166258913E-1,2.527321453E-1
2.658986917E0,-1.602680514E-1,-5.728508495E-2,-1.894345844E-1,2.546623078E-1
2.669021917E0,-1.080190865E-1,-9.817649583E-2,-4.276010334E-2,1.521025109E-1
2.679055917E0,-3.223858695E-2,-5.403146119E-2,1.065877247E-1,1.237726478E-1
2.689090917E0,-2.597556118E-2,-5.416613901E-2,7.177808046E-2,9.359910912E-2
2.699124917E0,-3.672270700E-2,-4.592141876E-2,-9.184806347E-3,5.951213807E-2
2.709159917E0,-5.092679981E-2,4.982802576E-2,-9.634749591E-2,1.198299256E-1
2.719193917E0,-1.540372219E-2,6.020055693E-2,-1.196322781E-1,1.348082478E-1
2.729228917E0,2.958040617E-2,2.408956004E-2,-9.889863610E-2,1.060011677E-1
2.739263917E0,5.086474624E-2,2.454967196E-2,-3.681406975E-2,6.741798376E-2
2.749297917E0,4.160966367E-2,2.933478657E-2,3.728126228E-2,6.310139722E-2
2.759332917E0,9.155022092E-3,2.028430173E-2,4.923355579E-4,2.226004763E-2
2.769366917E0,1.856088974E-3,2.268698660E-2,-3.617672324E-3,2.304847024E-2
2.779401917E0,6.693859588E-2,2.257590777E-2,4.618774116E-2,8.440233803E-2
2.789435917E0,6.585386429E-2,-1.330003104E-2,6.628403664E-3,6.750968821E-2
2.799470917E0,4.732323390E-2,-5.267016543E-2,3.853315115E-4,7.080807350E-2
2.809504917E0,-1.649240065E-2,-4.192476464E-2,-4.935576260E-2,6.682571714E-2
2.819539917E0,-2.203570727E-2,2.334334569E-2,-1.024344474E-1,1.073466357E-1
2.829573917E0,8.652088456E-2,3.368249291E-2,-1.203625953E-1,1.520116053E-1
2.839608917E0,1.484367222E-1,5.542346396E-2,-1.804386431E-1,2.401318904E-1
2.849642917E0,1.849983750E-1,6.689046599E-2,-1.862367421E-1,2.708927044E-1
2.859677917E0,1.453623293E-1,5.754488862E-2,-1.728132892E-1,2.330365935E-1
2.869711917E0,6.753376935E-2,3.742508551E-2,-1.134196115E-1,1.372058865E-1
2.879746917E0,-7.770218700E-4,1.989488631E-2,-1.157093811E-1,1.174098426E-1
2.889781917E0,-4.528273836E-2,1.299901821E-2,-1.426796633E-1,1.502564048E-1
2.899815917E0,-6.428406961E-2,3.258285091E-2,-2.167498523E-1,2.284175612E-1
2.909850917E0,-2.195921838E-3,4.986688234E-2,-2.585480887E-1,2.633223161E-1
2.919884917E0,3.745247606E-1,2.786183275E-1,-2.076451528E-1,5.108947819E-1
2.929919917E0,1.600102258E0,7.724948095E-1,2.338728386E-1,1.792141727E0
2.939953917E0,4.685469212E0,1.134707673E0,1.271547210E0,4.985781338E0
2.949988917E0,1.072880808E1,8.577787156E-1,3.058056364E0,1.118904892E1
2.960022917E0,1.964979507E1,2.602009138E-2,3.900469401E0,2.003319208E1
2.970057917E0,2.832157140E1,-4.259865807E-1,2.820124973E0,2.846481997E1
2.980091917E0,3.278053175E1,1.902097059E-1,-7.512911975E-2,3.278116969E1
2.990126917E0,3.361178830E1,1.745767802E0,-1.453144187E0,3.368844974E1
3.000160917E0,3.081982235E1,6.530326123E-1,2.009728366E0,3.089218201E1
3.010195917E0,2.474712871E1,-2.637581040E0,8.385659782E0,2.626207347E1
3.020230917E0,1.535747101E1,-5.327062551E0,1.319970810E1,2.093947958E1
